n,time,a,b,c
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,9.53674e-07,0,0,0
6,0,0,0,0
7,0,0,0,0
8,9.53674e-07,0,0,0
9,9.53674e-07,0,0,0
10,1.19209e-06,0,0,0
11,0,0,0,0
12,9.53674e-07,0,0,0
13,1.90735e-06,0,0,0
14,3.09944e-06,0,0,0
15,5.00679e-06,0,0,0
16,7.86781e-06,0,0,0
17,1.3113e-05,0,0,0
18,1.97887e-05,0,0,0
19,3.21865e-05,0,0,0
20,5.19753e-05,0,0,0
21,8.4877e-05,0,0,0
22,0.000142097,0,0,0
23,0.000226021,0,0,0
24,0.000400066,0,0,0
25,0.000582933,0,0,0
26,0.000972986,0,0,0
27,0.00154686,0,0,0
28,0.00251198,0,0,0
29,0.00404096,0,0,0
30,0.00655913,0,0,0
31,0.0106351,0,0,0
32,0.0170889,0,0,0
33,0.027766,0,0,0
